Datetime,0700.HK,2318.HK,1211.HK,1810.HK,2269.HK,2018.HK
2026-03-12 01:30:00+00:00,555.0,63.54999923706055,97.94999694824219,33.540000915527344,36.47999954223633,33.52000045776367
2026-03-12 01:45:00+00:00,549.5,63.349998474121094,98.0999984741211,33.279998779296875,35.779998779296875,33.02000045776367
2026-03-12 02:00:00+00:00,551.0,63.29999923706055,97.94999694824219,33.36000061035156,35.540000915527344,33.099998474121094
2026-03-12 02:15:00+00:00,549.5,63.099998474121094,97.69999694824219,33.29999923706055,35.5,33.040000915527344
2026-03-12 02:30:00+00:00,545.0,62.599998474121094,97.19999694824219,33.040000915527344,35.18000030517578,32.7400016784668
2026-03-12 02:45:00+00:00,546.5,62.349998474121094,97.1500015258789,33.099998474121094,35.15999984741211,32.79999923706055
2026-03-12 03:00:00+00:00,546.0,62.150001525878906,97.1500015258789,33.099998474121094,34.91999816894531,32.619998931884766
2026-03-12 03:15:00+00:00,546.0,62.25,97.25,33.119998931884766,34.939998626708984,32.52000045776367
2026-03-12 03:30:00+00:00,544.0,62.29999923706055,97.0,33.040000915527344,34.779998779296875,32.540000915527344
2026-03-12 03:45:00+00:00,546.0,62.54999923706055,97.4000015258789,33.119998931884766,34.7599983215332,32.58000183105469
2026-03-12 05:00:00+00:00,544.5,62.5,97.8499984741211,33.18000030517578,34.540000915527344,32.5
2026-03-12 05:15:00+00:00,542.5,62.54999923706055,97.55000305175781,33.02000045776367,34.599998474121094,32.400001525878906
2026-03-12 05:30:00+00:00,543.5,62.599998474121094,97.69999694824219,33.08000183105469,34.7599983215332,32.560001373291016
2026-03-12 05:45:00+00:00,545.5,62.79999923706055,98.0999984741211,33.099998474121094,35.08000183105469,32.65999984741211
2026-03-12 06:00:00+00:00,543.5,62.75,97.94999694824219,33.08000183105469,34.97999954223633,32.65999984741211
2026-03-12 06:15:00+00:00,544.5,62.599998474121094,98.0,33.15999984741211,35.0,32.7599983215332
2026-03-12 06:30:00+00:00,544.5,62.54999923706055,98.25,33.20000076293945,35.119998931884766,32.7599983215332
2026-03-12 06:45:00+00:00,545.5,62.599998474121094,98.0999984741211,33.2599983215332,35.060001373291016,32.79999923706055
2026-03-12 07:00:00+00:00,546.0,62.650001525878906,98.30000305175781,33.29999923706055,35.20000076293945,32.939998626708984
2026-03-12 07:15:00+00:00,547.5,62.75,98.05000305175781,33.34000015258789,35.20000076293945,32.959999084472656
2026-03-12 07:30:00+00:00,546.5,62.900001525878906,98.0,33.29999923706055,35.099998474121094,32.97999954223633
2026-03-12 07:45:00+00:00,549.0,62.849998474121094,98.25,33.36000061035156,35.08000183105469,33.099998474121094
2026-03-12 08:00:00+00:00,546.5,62.849998474121094,98.19999694824219,33.29999923706055,35.119998931884766,33.0
2026-03-13 01:30:00+00:00,544.5,62.849998474121094,97.6500015258789,33.2599983215332,34.779998779296875,32.13999938964844
2026-03-13 01:45:00+00:00,544.0,62.70000076293945,97.4000015258789,33.20000076293945,34.84000015258789,32.20000076293945
