2026-04-15 07:49:43,250 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(29); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:50:09,273 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(30); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:50:38,925 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(31); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:51:05,017 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(32); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:51:31,057 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(33); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 07:51:57,078 | 76353 | 131207327708992 | [open_context_base.py:434] _connect_sync: Connect fail: conn=0(34); msg=Timeout; context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x7754226dd550>
2026-04-15 09:01:14 | ModelManager | INFO | Auto-detected model architecture: input_dim=26 hidden_dim=96 num_layers=2
2026-04-15 09:01:14 | ModelManager | INFO | Loaded model checkpoint from v3_pipeline/models/trained_models/v3_us_stocks.pth
Loaded trained model: v3_us_stocks
2026-04-15 09:01:14 | FutuConnector | INFO | Loaded target_acc_id from config.json: 18526451
2026-04-15 09:01:14 | TechnicalIndicatorGenerator | WARNING | TA-Lib unavailable, using pandas fallback indicators: No module named 'talib'
2026-04-15 09:01:14,717 | 97452 | 131308393699136 | [open_context_base.py:409] _init_connect_sync: New connect ready: conn=7449985153888240194(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x776baa7d16a0>
2026-04-15 09:01:14,719 | 97452 | 131308393699136 | [open_context_base.py:409] _init_connect_sync: New connect ready: conn=7449985153890131824(2) context=<futu.trade.open_trade_context.OpenSecTradeContext object at 0x776ba430a270>
2026-04-15 09:01:14 | FutuConnector | INFO | Connected to Futu OpenD at 127.0.0.1:11112 (trade_market=US, trade_only=False)
2026-04-15 09:01:14,724 | 97452 | 131308393699136 | [open_context_base.py:409] _init_connect_sync: New connect ready: conn=7449985153910853807(3) context=<futu.trade.open_trade_context.OpenSecTradeContext object at 0x776ba4332350>
2026-04-15 09:01:14 | FutuConnector | INFO | Switched trade context: US→HK
2026-04-15 09:01:14,726 | 97452 | 131304121165504 | [open_context_base.py:516] on_disconnect: Disconnected: conn=0(2) reason=CallClose
2026-04-15 09:01:14 | LiveTradingLoop | INFO | [MARKET_INIT:HK] symbols=['0700.HK', '9988.HK', '3690.HK', '1024.HK', '2318.HK', '1299.HK', '0939.HK', '0005.HK', '0388.HK', '0960.HK', '1109.HK', '0941.HK', '0175.HK', '1810.HK', '2688.HK', '2269.HK', '1211.HK', '2018.HK', '0688.HK'] auto_trade=True
2026-04-15 09:01:15 | LiveTradingLoop | INFO | HistoryPriming[3690.HK]: downloaded 1655 bars
