2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for SNOW: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for UPST: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for NEE: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for TSLL: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for AFRM: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for BBAI: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for NNE: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for COIN: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for PLTR: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for AMZN: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for SOUN: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for MSFT: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for TSLA: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for AAPL: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for SMCI: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for GOOGL: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for NVDA: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for DELL: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for AI: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for AMD: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for CCJ: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for CRM: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for ORCL: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for META: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for BWXT: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for IBM: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for INTC: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for HOOD: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for HPQ: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for DDOG: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
2026-03-12 20:28:55 | TrainerV41 | WARNING | Load/feature failed for MDB: Mixed timezones detected. Pass utc=True in to_datetime or tz='UTC' in DatetimeIndex to convert to a common timezone.
