Date,Open,High,Low,Close,Volume,data_source
2026-03-03 09:30:00-05:00,164.9499969482422,165.75,164.0,165.4600067138672,172419,YF_PRIMED
2026-03-03 09:31:00-05:00,165.8300018310547,165.8300018310547,164.0,164.2050018310547,12287,YF_PRIMED
2026-03-03 09:32:00-05:00,164.00999450683594,164.1199951171875,162.5800018310547,163.07000732421875,51711,YF_PRIMED
2026-03-03 09:33:00-05:00,162.97999572753906,163.77000427246094,161.85000610351562,162.48500061035156,46413,YF_PRIMED
2026-03-03 09:34:00-05:00,162.30999755859375,162.68626403808594,161.8800048828125,162.17999267578125,23697,YF_PRIMED
2026-03-03 09:35:00-05:00,162.0399932861328,162.3699951171875,161.11000061035156,161.25,36097,YF_PRIMED
2026-03-03 09:36:00-05:00,161.38499450683594,161.85000610351562,160.86000061035156,161.22500610351562,25241,YF_PRIMED
2026-03-03 09:37:00-05:00,161.22500610351562,161.94000244140625,161.0,161.3000030517578,23349,YF_PRIMED
2026-03-03 09:38:00-05:00,161.1699981689453,161.72999572753906,160.88999938964844,161.63499450683594,34033,YF_PRIMED
2026-03-03 09:39:00-05:00,161.60499572753906,161.99000549316406,161.32000732421875,161.49749755859375,17428,YF_PRIMED
2026-03-03 09:40:00-05:00,161.7100067138672,161.91000366210938,160.9600067138672,161.32000732421875,22261,YF_PRIMED
2026-03-03 09:41:00-05:00,161.33999633789062,162.2949981689453,161.27000427246094,162.14999389648438,28043,YF_PRIMED
2026-03-03 09:42:00-05:00,162.03500366210938,162.30999755859375,161.4499969482422,161.8000030517578,40197,YF_PRIMED
2026-03-03 09:43:00-05:00,161.71499633789062,162.25999450683594,161.4550018310547,161.86000061035156,12831,YF_PRIMED
2026-03-03 09:44:00-05:00,161.9550018310547,162.60240173339844,161.77499389648438,162.50999450683594,22038,YF_PRIMED
2026-03-03 09:45:00-05:00,162.30999755859375,163.01499938964844,161.875,163.01499938964844,28523,YF_PRIMED
2026-03-03 09:46:00-05:00,162.76499938964844,164.5511932373047,162.6230010986328,163.58999633789062,29037,YF_PRIMED
2026-03-03 09:47:00-05:00,163.71499633789062,163.7902069091797,161.38999938964844,161.58999633789062,49195,YF_PRIMED
2026-03-03 09:48:00-05:00,161.38999938964844,162.08999633789062,161.38999938964844,162.08999633789062,12861,YF_PRIMED
2026-03-03 09:49:00-05:00,161.38999938964844,161.85000610351562,160.6649932861328,161.2550048828125,31169,YF_PRIMED
2026-03-03 09:50:00-05:00,161.2550048828125,161.30999755859375,160.94000244140625,160.9949951171875,18625,YF_PRIMED
