Date,Open,High,Low,Close,Volume,data_source
2026-03-03 14:30:00,178.4774932861328,179.7855987548828,178.4774932861328,179.77999877929688,11182205,YF_PRIMED
2026-03-03 14:31:00,179.7700958251953,180.52999877929688,178.66000366210938,178.83999633789062,1711563,YF_PRIMED
2026-03-03 14:32:00,178.89999389648438,179.32000732421875,178.14999389648438,178.2843017578125,1270856,YF_PRIMED
2026-03-03 14:33:00,178.27749633789062,178.8800048828125,178.25,178.80580139160156,924488,YF_PRIMED
2026-03-03 14:34:00,178.81700134277344,178.82000732421875,177.99000549316406,178.07000732421875,1200981,YF_PRIMED
2026-03-03 14:35:00,178.05499267578125,178.7050018310547,178.0399932861328,178.48500061035156,1136309,YF_PRIMED
2026-03-03 14:36:00,178.48500061035156,179.3000030517578,178.3800048828125,178.8350067138672,1282024,YF_PRIMED
2026-03-03 14:37:00,178.88999938964844,179.66000366210938,178.8800048828125,179.5850067138672,822908,YF_PRIMED
2026-03-03 14:38:00,179.57000732421875,180.0399932861328,179.44000244140625,179.75999450683594,1162871,YF_PRIMED
2026-03-03 14:39:00,179.75990295410156,180.10000610351562,179.22999572753906,179.24000549316406,875705,YF_PRIMED
2026-03-03 14:40:00,179.24009704589844,179.38999938964844,179.02000427246094,179.32000732421875,690869,YF_PRIMED
2026-03-03 14:41:00,179.31260681152344,179.36000061035156,178.88999938964844,178.9405059814453,607404,YF_PRIMED
2026-03-03 14:42:00,178.9600067138672,179.00999450683594,178.42999267578125,178.73500061035156,761137,YF_PRIMED
2026-03-03 14:43:00,178.6999969482422,178.92999267578125,178.52999877929688,178.6699981689453,548690,YF_PRIMED
2026-03-03 14:44:00,178.6699981689453,178.88999938964844,178.32000732421875,178.44500732421875,621638,YF_PRIMED
2026-03-03 14:45:00,178.4199981689453,178.85629272460938,178.2449951171875,178.81939697265625,880501,YF_PRIMED
2026-03-03 14:46:00,178.81500244140625,179.3249969482422,178.80999755859375,179.13999938964844,917651,YF_PRIMED
2026-03-03 14:47:00,179.14500427246094,179.23500061035156,178.63499450683594,178.86500549316406,510002,YF_PRIMED
2026-03-03 14:48:00,178.85000610351562,178.8800048828125,178.35609436035156,178.55999755859375,459229,YF_PRIMED
2026-03-03 14:49:00,178.55999755859375,178.99000549316406,178.55999755859375,178.8699951171875,482904,YF_PRIMED
2026-03-03 14:50:00,178.875,179.27000427246094,178.64999389648438,179.1051025390625,663018,YF_PRIMED
2026-03-03 14:51:00,179.16000366210938,179.6699981689453,179.16000366210938,179.36990356445312,720197,YF_PRIMED
2026-03-03 14:52:00,179.36000061035156,179.57000732421875,178.8800048828125,179.02499389648438,576489,YF_PRIMED
2026-03-03 14:53:00,179.0198974609375,179.32000732421875,178.89999389648438,179.2949981689453,471197,YF_PRIMED
2026-03-03 14:54:00,179.3000030517578,179.4199981689453,178.80999755859375,178.97509765625,487985,YF_PRIMED
2026-03-03 14:55:00,179.0050048828125,179.1313018798828,178.7449951171875,178.87989807128906,482084,YF_PRIMED
2026-03-03 14:56:00,178.8800048828125,178.91529846191406,178.5800018310547,178.69500732421875,415863,YF_PRIMED
2026-03-03 14:57:00,178.67999267578125,179.06129455566406,178.6199951171875,179.02999877929688,485094,YF_PRIMED
2026-03-03 14:58:00,179.02999877929688,179.02999877929688,178.47999572753906,178.58999633789062,529485,YF_PRIMED
2026-03-03 14:59:00,178.59500122070312,178.90499877929688,178.5399932861328,178.83999633789062,427524,YF_PRIMED
2026-03-03 15:00:00,178.8300018310547,179.5198974609375,178.75,179.30999755859375,796770,YF_PRIMED
2026-03-03 15:01:00,179.31500244140625,179.77999877929688,178.93499755859375,178.94000244140625,599962,YF_PRIMED
2026-03-03 15:02:00,178.94580078125,179.27499389648438,178.77000427246094,178.8300018310547,463755,YF_PRIMED
2026-03-03 15:03:00,178.85000610351562,179.17010498046875,178.7899932861328,179.0,437631,YF_PRIMED
2026-03-03 15:04:00,179.01010131835938,179.09500122070312,178.74000549316406,179.0,361458,YF_PRIMED
2026-03-03 15:05:00,179.0,179.1750030517578,178.63999938964844,179.15499877929688,490188,YF_PRIMED
2026-03-03 15:06:00,179.15499877929688,179.60499572753906,179.06500244140625,179.4600067138672,646552,YF_PRIMED
2026-03-03 15:07:00,179.4600067138672,179.66000366210938,179.14999389648438,179.16000366210938,541894,YF_PRIMED
2026-03-03 15:08:00,179.17990112304688,179.4199981689453,179.05999755859375,179.41000366210938,418209,YF_PRIMED
2026-03-03 15:09:00,179.42999267578125,179.7301025390625,179.38999938964844,179.61019897460938,631080,YF_PRIMED
2026-03-03 15:10:00,179.6300048828125,179.6300048828125,179.22000122070312,179.375,480649,YF_PRIMED
2026-03-03 15:11:00,179.39500427246094,179.8249969482422,179.30999755859375,179.62100219726562,497065,YF_PRIMED
2026-03-03 15:12:00,179.63009643554688,180.02999877929688,179.57000732421875,179.76499938964844,1156085,YF_PRIMED
2026-03-03 15:13:00,179.75999450683594,179.8699951171875,179.47999572753906,179.5,512383,YF_PRIMED
2026-03-03 15:14:00,179.5198974609375,179.9499969482422,179.50999450683594,179.91000366210938,452412,YF_PRIMED
2026-03-03 15:15:00,179.9199981689453,180.00999450683594,179.5500946044922,179.55999755859375,464547,YF_PRIMED
2026-03-03 15:16:00,179.56500244140625,179.65660095214844,179.10000610351562,179.1699981689453,529205,YF_PRIMED
2026-03-03 15:17:00,179.15499877929688,179.1699981689453,178.94000244140625,179.10000610351562,460630,YF_PRIMED
2026-03-03 15:18:00,179.0749969482422,179.08999633789062,178.67010498046875,178.74000549316406,538713,YF_PRIMED
2026-03-03 15:19:00,178.7449951171875,178.7899932861328,178.5800018310547,178.7449951171875,521824,YF_PRIMED
2026-03-03 15:20:00,178.74000549316406,178.8000946044922,178.32000732421875,178.32000732421875,626411,YF_PRIMED
2026-03-03 15:21:00,178.3300018310547,178.3699951171875,178.0749969482422,178.0800018310547,633310,YF_PRIMED
2026-03-03 15:22:00,178.09500122070312,178.2100067138672,177.94000244140625,177.96499633789062,780297,YF_PRIMED
2026-03-03 15:23:00,177.95010375976562,178.20989990234375,177.86990356445312,178.19500732421875,775908,YF_PRIMED
2026-03-03 15:24:00,178.17649841308594,178.38499450683594,178.0,178.21499633789062,706365,YF_PRIMED
2026-03-03 15:25:00,178.2100067138672,178.36489868164062,177.86000061035156,177.9600067138672,588309,YF_PRIMED
2026-03-03 15:26:00,177.96029663085938,178.22000122070312,177.9062957763672,178.07000732421875,601981,YF_PRIMED
2026-03-03 15:27:00,178.07000732421875,178.27000427246094,177.9949951171875,178.21510314941406,607337,YF_PRIMED
2026-03-03 15:28:00,178.25,178.25210571289062,177.80499267578125,177.80499267578125,540560,YF_PRIMED
2026-03-03 15:29:00,177.80999755859375,177.92999267578125,177.72000122070312,177.77000427246094,540563,YF_PRIMED
2026-03-03 15:30:00,177.75999450683594,178.16000366210938,177.75999450683594,178.0500030517578,634698,YF_PRIMED
2026-03-03 15:31:00,178.0449981689453,178.72999572753906,178.02000427246094,178.57000732421875,778165,YF_PRIMED
2026-03-03 15:32:00,178.5601043701172,178.63499450683594,178.14999389648438,178.2100067138672,549013,YF_PRIMED
2026-03-03 15:33:00,178.21499633789062,178.2550048828125,178.02000427246094,178.08999633789062,448938,YF_PRIMED
2026-03-03 15:34:00,178.08180236816406,178.16000366210938,177.6199951171875,177.67059326171875,656732,YF_PRIMED
2026-03-03 15:35:00,177.69500732421875,177.947998046875,177.66000366210938,177.82000732421875,541263,YF_PRIMED
2026-03-03 15:36:00,177.80499267578125,178.1999969482422,177.69000244140625,178.07989501953125,551678,YF_PRIMED
2026-03-03 15:37:00,178.0865936279297,178.3249969482422,177.9499969482422,178.01010131835938,454908,YF_PRIMED
2026-03-03 15:38:00,178.02000427246094,178.0800018310547,177.75,177.7899932861328,350265,YF_PRIMED
2026-03-03 15:39:00,177.80999755859375,178.21499633789062,177.7899932861328,178.0850067138672,442060,YF_PRIMED
2026-03-03 15:40:00,178.0850067138672,178.30499267578125,177.95509338378906,178.05999755859375,556838,YF_PRIMED
2026-03-03 15:41:00,178.0399932861328,178.1999969482422,177.93499755859375,177.94650268554688,379025,YF_PRIMED
2026-03-03 15:42:00,177.94000244140625,178.10980224609375,177.74000549316406,177.8498992919922,428123,YF_PRIMED
2026-03-03 15:43:00,177.85499572753906,177.85499572753906,177.375,177.41000366210938,718843,YF_PRIMED
2026-03-03 15:44:00,177.41000366210938,177.46279907226562,177.1999969482422,177.36000061035156,636174,YF_PRIMED
2026-03-03 15:45:00,177.3350067138672,177.66000366210938,177.3350067138672,177.5850067138672,426343,YF_PRIMED
2026-03-03 15:46:00,177.5800018310547,177.94009399414062,177.51499938964844,177.68499755859375,423080,YF_PRIMED
2026-03-03 15:47:00,177.68499755859375,177.7899932861328,177.49000549316406,177.69000244140625,382714,YF_PRIMED
2026-03-03 15:48:00,177.68499755859375,177.77999877929688,177.49000549316406,177.5449981689453,302897,YF_PRIMED
2026-03-03 15:49:00,177.55999755859375,177.58999633789062,177.25999450683594,177.42660522460938,391517,YF_PRIMED
2026-03-03 15:50:00,177.4149932861328,177.4149932861328,177.10000610351562,177.3000030517578,544642,YF_PRIMED
2026-03-03 15:51:00,177.33999633789062,177.6300048828125,177.2949981689453,177.5,414232,YF_PRIMED
2026-03-03 15:52:00,177.4949951171875,177.8000030517578,177.31500244140625,177.3300018310547,475901,YF_PRIMED
2026-03-03 15:53:00,177.33999633789062,177.47000122070312,177.08999633789062,177.19000244140625,347605,YF_PRIMED
2026-03-03 15:54:00,177.18870544433594,177.21499633789062,176.94000244140625,176.96200561523438,767923,YF_PRIMED
2026-03-03 15:55:00,176.97000122070312,177.0800018310547,176.9199981689453,177.00999450683594,362895,YF_PRIMED
2026-03-03 15:56:00,177.02999877929688,177.4600067138672,176.98500061035156,177.05999755859375,729206,YF_PRIMED
2026-03-03 15:57:00,177.05999755859375,177.27000427246094,176.9600067138672,177.22999572753906,506571,YF_PRIMED
2026-03-03 15:58:00,177.27000427246094,177.5,177.25999450683594,177.36990356445312,523815,YF_PRIMED
2026-03-03 15:59:00,177.36000061035156,177.6199951171875,177.36000061035156,177.51710510253906,522379,YF_PRIMED
2026-03-03 16:00:00,177.51010131835938,177.7165985107422,177.38999938964844,177.6199951171875,546075,YF_PRIMED
2026-03-03 16:01:00,177.58999633789062,177.96580505371094,177.58999633789062,177.875,560810,YF_PRIMED
2026-03-03 16:02:00,177.88499450683594,177.985107421875,177.74000549316406,177.9199981689453,488762,YF_PRIMED
2026-03-03 16:03:00,177.91000366210938,178.4499969482422,177.8699951171875,178.44500732421875,658314,YF_PRIMED
2026-03-03 16:04:00,178.44500732421875,178.9149932861328,178.3300018310547,178.90499877929688,1261865,YF_PRIMED
2026-03-03 16:05:00,178.9001007080078,179.38999938964844,178.88369750976562,179.375,974069,YF_PRIMED
2026-03-03 16:06:00,179.36500549316406,179.9199981689453,179.35499572753906,179.7899932861328,1261047,YF_PRIMED
2026-03-03 16:07:00,179.7949981689453,179.85499572753906,179.65499877929688,179.82989501953125,628711,YF_PRIMED
2026-03-03 16:08:00,179.81500244140625,180.0,179.6999969482422,179.99000549316406,939075,YF_PRIMED
2026-03-03 16:09:00,179.99000549316406,180.0050048828125,179.42999267578125,179.55499267578125,754504,YF_PRIMED
2026-03-03 16:10:00,179.5500030517578,179.57000732421875,179.25999450683594,179.49000549316406,550745,YF_PRIMED
2026-03-03 16:11:00,179.47500610351562,179.47500610351562,179.09500122070312,179.1999969482422,533321,YF_PRIMED
2026-03-03 16:12:00,179.21499633789062,179.39999389648438,179.14669799804688,179.2899932861328,346393,YF_PRIMED
2026-03-03 16:13:00,179.3029022216797,179.8000030517578,179.25999450683594,179.7550048828125,552303,YF_PRIMED
2026-03-03 16:14:00,179.75999450683594,179.77000427246094,179.47500610351562,179.57000732421875,435934,YF_PRIMED
