timestamp,symbol,pattern,confidence,prediction,current_price,predicted_move
2026-03-27T12:48:27.407769+00:00,0941.HK,Unknown,0.0,77.01640924811363,78.05000305175781,-0.013242713173999
2026-03-27T12:48:27.508384+00:00,0005.HK,Unknown,0.0,118.76099524290204,124.8000030517578,-0.0483894844646057
2026-03-27T12:48:27.631972+00:00,2018.HK,Unknown,0.0,31.50041843255749,34.279998779296875,-0.081084610435228
2026-03-27T12:48:27.714058+00:00,0700.HK,Unknown,0.0,489.7231474518776,493.3999938964844,-0.0074520601744842
2026-03-27T12:48:27.834383+00:00,0388.HK,Unknown,0.0,380.48122455855264,390.3999938964844,-0.0254066841521563
2026-03-27T12:48:27.940996+00:00,9999.HK,Unknown,0.0,171.6686576711246,173.10000610351562,-0.0082689103519445
2026-03-27T12:48:28.047208+00:00,2800.HK,Unknown,0.0,24.57041056695641,25.21999931335449,-0.0257568899319561
2026-03-27T12:48:28.140872+00:00,2318.HK,Unknown,0.0,57.38215664147833,59.29999923706055,-0.0323413595321536
2026-03-27T12:48:28.250022+00:00,2688.HK,Unknown,0.0,63.03112362381819,65.0,-0.0302904057874124
2026-03-27T12:48:28.380337+00:00,1211.HK,Unknown,0.0,101.52371545551092,106.5,-0.0467256764740759
2026-03-27T12:48:28.477416+00:00,1024.HK,Unknown,0.0,45.58557698581842,46.08000183105469,-0.0107297054164407
2026-03-27T12:48:28.555146+00:00,9618.HK,Unknown,0.0,104.14422387361589,113.6999969482422,-0.0840437408188869
2026-03-27T12:48:36.417442+00:00,1211.HK,Unknown,0.0,100.84724074923513,106.3000030517578,-0.0512959750327357
2026-03-27T12:48:36.525310+00:00,1810.HK,Unknown,0.0,31.47463771500594,33.119998931884766,-0.0496787823049966
2026-03-27T12:48:36.608646+00:00,2269.HK,Unknown,0.0,31.2349900168294,32.400001525878906,-0.0359571436476314
2026-03-27T12:48:36.688507+00:00,0960.HK,Unknown,0.0,7.479865542540313,7.71999979019165,-0.0311054733390576
2026-03-27T12:48:36.777103+00:00,1109.HK,Unknown,0.0,27.71026973161452,27.89999961853028,-0.0068003544627199
2026-03-27T12:48:36.863256+00:00,0939.HK,Unknown,0.0,7.747517202089899,8.09000015258789,-0.0423341092754412
2026-03-27T12:48:36.963083+00:00,2018.HK,Unknown,0.0,31.14031451778346,34.34000015258789,-0.0931766342628656
2026-03-27T12:48:37.092358+00:00,0700.HK,Unknown,0.0,486.67672111839056,493.0,-0.0128261234921083
2026-03-27T12:48:37.202725+00:00,9999.HK,Unknown,0.0,170.88619923639504,172.89999389648438,-0.0116471644371196
2026-03-27T12:48:37.301215+00:00,0688.HK,Unknown,0.0,11.78158291416619,11.90999984741211,-0.0107822783283933
2026-03-27T12:48:37.403598+00:00,0388.HK,Unknown,0.0,378.4332920764182,391.0,-0.0321399179631248
2026-03-27T12:48:37.506200+00:00,0941.HK,Unknown,0.0,76.82032912969589,78.0999984741211,-0.0163850111322246
2026-03-27T12:48:37.604024+00:00,1024.HK,Unknown,0.0,44.71322197105275,46.08000183105469,-0.0296610200887801
2026-03-27T12:48:37.754350+00:00,9618.HK,Unknown,0.0,103.13909277945169,114.0,-0.095271115969722
2026-03-27T12:48:37.871483+00:00,2688.HK,Unknown,0.0,62.76012869072736,65.05000305175781,-0.0352017563966675
2026-03-27T12:48:37.955406+00:00,2318.HK,Unknown,0.0,56.98956628029248,59.34999847412109,-0.0397713943473453
2026-03-27T12:48:38.051060+00:00,0005.HK,Unknown,0.0,118.28716800495988,125.0,-0.0537026559603209
2026-03-27T12:48:38.132397+00:00,0175.HK,Unknown,0.0,19.55122848952721,20.8799991607666,-0.063638444666997
2026-03-27T12:48:38.233784+00:00,3690.HK,Unknown,0.0,75.4085319524363,86.0999984741211,-0.1241749908381043
2026-03-27T12:48:38.324518+00:00,9988.HK,Unknown,0.0,117.386480419703,122.4000015258789,-0.0409601392457165
2026-03-27T12:48:38.437439+00:00,1299.HK,Unknown,0.0,78.32856599740165,85.8499984741211,-0.0876113291835028
2026-03-27T12:48:38.520773+00:00,3033.HK,Unknown,0.0,4.55107658303981,4.673999786376953,-0.0262993600674566
2026-03-27T12:48:38.607205+00:00,2800.HK,Unknown,0.0,24.4489492034013,25.239999771118164,-0.0313411479750509
2026-03-27T12:49:32.447703+00:00,2688.HK,Unknown,0.0,63.03112362381819,65.0,-0.0302904057874124
2026-03-27T12:49:32.523107+00:00,9618.HK,Unknown,0.0,104.14422387361589,113.6999969482422,-0.0840437408188869
2026-03-27T12:49:32.604213+00:00,3690.HK,Unknown,0.0,76.55277133667187,85.9000015258789,-0.1088152505607467
2026-03-27T12:49:32.687049+00:00,0939.HK,Unknown,0.0,7.779056772964338,8.09000015258789,-0.0384355220962616
2026-03-27T12:49:32.769113+00:00,0941.HK,Unknown,0.0,77.01640924811363,78.05000305175781,-0.013242713173999
2026-03-27T12:49:32.867117+00:00,0005.HK,Unknown,0.0,118.76099524290204,124.8000030517578,-0.0483894844646057
2026-03-27T12:49:32.966344+00:00,1810.HK,Unknown,0.0,31.64641495650108,33.099998474121094,-0.0439149119223219
2026-03-27T12:49:33.083781+00:00,3033.HK,Unknown,0.0,4.575387297377773,4.679999828338623,-0.0223531057260715
2026-03-27T12:49:33.173788+00:00,0960.HK,Unknown,0.0,7.569984771304938,7.75,-0.0232277714445241
2026-03-27T12:49:33.308064+00:00,1109.HK,Unknown,0.0,27.841380534037683,27.89999961853028,-0.0021010424836586
2026-03-27T12:49:33.396516+00:00,0175.HK,Unknown,0.0,19.73637152895811,20.89999961853028,-0.0556759861631993
2026-03-27T12:49:33.492308+00:00,9999.HK,Unknown,0.0,171.6686576711246,173.10000610351562,-0.0082689103519445
2026-03-27T12:49:33.600304+00:00,2018.HK,Unknown,0.0,31.50041843255749,34.279998779296875,-0.081084610435228
2026-03-27T12:49:33.994018+00:00,1299.HK,Unknown,0.0,79.18867725663574,85.6500015258789,-0.075438694152164
2026-03-27T12:49:34.069630+00:00,2269.HK,Unknown,0.0,31.45696082745357,32.36000061035156,-0.0279060496250151
2026-03-27T12:49:34.147380+00:00,2318.HK,Unknown,0.0,57.38215664147833,59.29999923706055,-0.0323413595321536
2026-03-27T12:49:34.240425+00:00,1211.HK,Unknown,0.0,101.52371545551092,106.5,-0.0467256764740759
2026-03-27T12:49:34.309877+00:00,9988.HK,Unknown,0.0,118.6975877293635,122.5999984741211,-0.0318304306144124
2026-03-27T12:49:34.414492+00:00,1024.HK,Unknown,0.0,45.58557698581842,46.08000183105469,-0.0107297054164407
2026-03-27T12:49:34.535324+00:00,0388.HK,Unknown,0.0,380.48122455855264,390.3999938964844,-0.0254066841521563
2026-03-27T12:49:34.615308+00:00,0688.HK,Unknown,0.0,11.826249221762268,11.899999618530272,-0.006197512532115
2026-03-27T12:49:34.723032+00:00,2800.HK,Unknown,0.0,24.57041056695641,25.21999931335449,-0.0257568899319561
2026-03-27T12:49:34.823285+00:00,0700.HK,Unknown,0.0,489.7231474518776,493.3999938964844,-0.0074520601744842
2026-03-27T12:49:41.867990+00:00,0941.HK,Unknown,0.0,76.82032912969589,78.0999984741211,-0.0163850111322246
2026-03-27T12:49:41.941520+00:00,9988.HK,Unknown,0.0,117.386480419703,122.4000015258789,-0.0409601392457165
2026-03-27T12:49:42.016989+00:00,1024.HK,Unknown,0.0,44.71322197105275,46.08000183105469,-0.0296610200887801
2026-03-27T12:49:42.093944+00:00,2269.HK,Unknown,0.0,31.2349900168294,32.400001525878906,-0.0359571436476314
2026-03-27T12:49:42.179933+00:00,9999.HK,Unknown,0.0,170.88619923639504,172.89999389648438,-0.0116471644371196
2026-03-27T12:49:42.286014+00:00,0688.HK,Unknown,0.0,11.78158291416619,11.90999984741211,-0.0107822783283933
2026-03-27T12:49:42.400394+00:00,0388.HK,Unknown,0.0,378.4332920764182,391.0,-0.0321399179631248
2026-03-27T12:49:42.517017+00:00,0960.HK,Unknown,0.0,7.479865542540313,7.71999979019165,-0.0311054733390576
2026-03-27T12:49:42.595376+00:00,1211.HK,Unknown,0.0,100.84724074923513,106.3000030517578,-0.0512959750327357
2026-03-27T12:49:42.695822+00:00,1299.HK,Unknown,0.0,78.32856599740165,85.8499984741211,-0.0876113291835028
2026-03-27T12:49:42.797130+00:00,1109.HK,Unknown,0.0,27.71026973161452,27.89999961853028,-0.0068003544627199
2026-03-27T12:49:42.900310+00:00,0939.HK,Unknown,0.0,7.747517202089899,8.09000015258789,-0.0423341092754412
2026-03-27T12:49:43.007230+00:00,2688.HK,Unknown,0.0,62.76012869072736,65.05000305175781,-0.0352017563966675
2026-03-27T12:49:43.110781+00:00,0175.HK,Unknown,0.0,19.55122848952721,20.8799991607666,-0.063638444666997
2026-03-27T12:49:43.214379+00:00,2800.HK,Unknown,0.0,24.4489492034013,25.239999771118164,-0.0313411479750509
2026-03-27T12:49:43.294008+00:00,0700.HK,Unknown,0.0,486.67672111839056,493.0,-0.0128261234921083
2026-03-27T12:49:43.367664+00:00,3690.HK,Unknown,0.0,75.4085319524363,86.0999984741211,-0.1241749908381043
2026-03-27T12:49:43.446996+00:00,9618.HK,Unknown,0.0,103.13909277945169,114.0,-0.095271115969722
2026-03-27T12:49:43.566960+00:00,1810.HK,Unknown,0.0,31.47463771500594,33.119998931884766,-0.0496787823049966
2026-03-27T12:49:43.678535+00:00,3033.HK,Unknown,0.0,4.55107658303981,4.673999786376953,-0.0262993600674566
2026-03-27T12:49:43.779376+00:00,2018.HK,Unknown,0.0,31.14031451778346,34.34000015258789,-0.0931766342628656
2026-03-27T12:49:43.887489+00:00,2318.HK,Unknown,0.0,56.98956628029248,59.34999847412109,-0.0397713943473453
2026-03-27T12:49:43.994265+00:00,0005.HK,Unknown,0.0,118.28716800495988,125.0,-0.0537026559603209
2026-03-27T12:50:38.033494+00:00,2688.HK,Unknown,0.0,63.03112362381819,65.0,-0.0302904057874124
2026-03-27T12:50:38.116178+00:00,9999.HK,Unknown,0.0,171.6686576711246,173.10000610351562,-0.0082689103519445
2026-03-27T12:50:38.195723+00:00,1810.HK,Unknown,0.0,31.64641495650108,33.099998474121094,-0.0439149119223219
2026-03-27T12:50:38.278736+00:00,0688.HK,Unknown,0.0,11.826249221762268,11.899999618530272,-0.006197512532115
2026-03-27T12:50:38.364045+00:00,3033.HK,Unknown,0.0,4.575387297377773,4.679999828338623,-0.0223531057260715
2026-03-27T12:50:38.448777+00:00,0005.HK,Unknown,0.0,118.76099524290204,124.8000030517578,-0.0483894844646057
2026-03-27T12:50:38.549642+00:00,2800.HK,Unknown,0.0,24.57041056695641,25.21999931335449,-0.0257568899319561
2026-03-27T12:50:38.625177+00:00,1109.HK,Unknown,0.0,27.841380534037683,27.89999961853028,-0.0021010424836586
2026-03-27T12:50:38.698274+00:00,9988.HK,Unknown,0.0,118.6975877293635,122.5999984741211,-0.0318304306144124
2026-03-27T12:50:38.788765+00:00,2269.HK,Unknown,0.0,31.45696082745357,32.36000061035156,-0.0279060496250151
2026-03-27T12:50:38.872510+00:00,2018.HK,Unknown,0.0,31.50041843255749,34.279998779296875,-0.081084610435228
2026-03-27T12:50:38.973136+00:00,0939.HK,Unknown,0.0,7.779056772964338,8.09000015258789,-0.0384355220962616
2026-03-27T12:50:39.133403+00:00,0960.HK,Unknown,0.0,7.569984771304938,7.75,-0.0232277714445241
2026-03-27T12:50:39.324044+00:00,0941.HK,Unknown,0.0,77.01640924811363,78.05000305175781,-0.013242713173999
2026-03-27T12:50:39.427666+00:00,2318.HK,Unknown,0.0,57.38215664147833,59.29999923706055,-0.0323413595321536
2026-03-27T12:50:39.541191+00:00,1211.HK,Unknown,0.0,101.52371545551092,106.5,-0.0467256764740759
2026-03-27T12:50:39.656795+00:00,1299.HK,Unknown,0.0,79.18867725663574,85.6500015258789,-0.075438694152164
2026-03-27T12:50:39.748428+00:00,0175.HK,Unknown,0.0,19.73637152895811,20.89999961853028,-0.0556759861631993
