Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-03-12 00:00:00-04:00,7.659347581829417,7.764082805944301,7.313265178684835,7.650239944458008,14022500,0.0,0.0,0.0
2024-03-13 00:00:00-04:00,7.349695048736096,7.540951095696432,7.103794913245451,7.122009754180908,21291100,0.0,0.0,0.0
2024-03-14 00:00:00-04:00,7.0036130075575675,7.222191096804235,6.551884261606093,6.6848530769348145,24952500,0.0,0.0,0.0
2024-03-15 00:00:00-04:00,6.721282820651523,6.839679503893399,6.56645645553154,6.739497661590576,12610800,0.0,0.0,0.0
2024-03-18 00:00:00-04:00,7.140225069520848,7.431662543851597,6.885216845205349,7.377018451690674,21082100,0.0,0.0,0.0
2024-03-19 00:00:00-04:00,7.265732412708537,7.302520895725528,6.962227208541713,7.2197465896606445,13277900,0.079,0.0,0.0
2024-03-20 00:00:00-04:00,7.320916337981999,7.523253466315298,7.177440967551483,7.486464977264404,13965700,0.0,0.0,0.0
2024-03-21 00:00:00-04:00,7.523252084262607,7.633617531140697,7.228943787367731,7.302520751953125,11960600,0.0,0.0,0.0
2024-03-22 00:00:00-04:00,6.9070452016526,7.192156193933729,6.884052287739708,7.164564609527588,11339600,0.0,0.0,0.0
2024-03-25 00:00:00-04:00,7.0358047359577744,7.440478519986624,7.0358047359577744,7.284127235412598,10849100,0.0,0.0,0.0
2024-03-26 00:00:00-04:00,7.656608826145177,8.01989580038376,7.578433203657537,7.606025218963623,19945500,0.0,0.0,0.0
2024-03-27 00:00:00-04:00,7.845151108775334,7.858947118591799,7.486463624613314,7.725588321685791,12726600,0.0,0.0,0.0
2024-03-28 00:00:00-04:00,7.569237292141207,7.702596093274761,7.431280698029687,7.458871841430664,10504900,0.0,0.0,0.0
2024-04-01 00:00:00-04:00,7.495659277243293,7.52325129389404,7.109380253751209,7.43127965927124,11188600,0.0,0.0,0.0
2024-04-02 00:00:00-04:00,6.539159443182278,6.787481931477639,6.4379908920831825,6.704707622528076,20945000,0.0,0.0,0.0
2024-04-03 00:00:00-04:00,6.493173223650552,6.870255384060457,6.437990500557881,6.8426642417907715,11147700,0.0,0.0,0.0
2024-04-04 00:00:00-04:00,6.971424432024669,7.550843724135214,6.801277580573794,7.054198741912842,24620300,0.0,0.0,0.0
2024-04-05 00:00:00-04:00,6.888650393343924,7.026607435737828,6.180471376845452,6.539159774780273,33961500,0.0,0.0,0.0
2024-04-08 00:00:00-04:00,6.888650279882648,7.293324059581256,6.759890580427335,7.182958602905273,17545700,0.0,0.0,0.0
2024-04-09 00:00:00-04:00,7.173761750278222,7.688800551652304,7.0817900971937915,7.495660781860352,24168400,0.0,0.0,0.0
2024-04-10 00:00:00-04:00,7.1829584384196306,7.330112377284531,6.90704480304794,7.054198741912842,30492700,0.0,0.0,0.0
2024-04-11 00:00:00-04:00,7.127775810164689,7.391733169735441,6.787482102545111,7.293323993682861,20386900,0.0,0.0,0.0
2024-04-12 00:00:00-04:00,7.090987269544402,7.219746966830456,6.925439087319474,6.980621814727783,14603300,0.0,0.0,0.0
2024-04-15 00:00:00-04:00,6.916241098451792,6.953029579941965,6.189667931190949,6.208062171936035,25246300,0.0,0.0,0.0
2024-04-16 00:00:00-04:00,5.849374522918098,5.950542632319076,5.610248943854014,5.86776876449585,20733100,0.0,0.0,0.0
2024-04-17 00:00:00-04:00,5.895359693680815,5.9551410862777505,5.610248740293866,5.73900842666626,19584300,0.0,0.0,0.0
2024-04-18 00:00:00-04:00,5.4263076139140765,5.495285923995302,5.242364722775141,5.325139045715332,29993700,0.0,0.0,0.0
2024-04-19 00:00:00-04:00,5.251560505610375,5.389517523369876,5.063019438045474,5.122800827026367,20748800,0.0,0.0,0.0
2024-04-22 00:00:00-04:00,4.672142572312282,4.936100402246152,4.5433828585034295,4.773311138153076,30524700,0.0,0.0,0.0
2024-04-23 00:00:00-04:00,4.856085331488223,5.118203423060148,4.70985058459942,4.957253456115723,31842300,0.0,0.0,0.0
2024-04-24 00:00:00-04:00,6.194266742932975,6.539159093720172,5.82178281111935,6.125288009643555,48473700,0.0,0.0,0.0
2024-04-25 00:00:00-04:00,5.886163079223222,6.7828831347508,5.840177255430703,6.750693321228027,32858700,0.0,0.0,0.0
2024-04-26 00:00:00-04:00,6.640328351168659,6.888650869210413,6.433392992559427,6.575948715209961,28773400,0.0,0.0,0.0
2024-04-29 00:00:00-04:00,8.157853744356633,8.976398583920245,7.85434854165356,8.608512878417969,83315400,0.0,0.0,0.0
2024-04-30 00:00:00-04:00,7.98310999626856,8.314206396825101,7.606027765246921,7.661210060119629,35221700,0.0,0.0,0.0
2024-05-01 00:00:00-04:00,7.532449142557922,7.854349045899944,7.28412708672532,7.366901397705078,25947200,0.0,0.0,0.0
2024-05-02 00:00:00-04:00,7.5968296494903305,7.7347862497188125,7.035804592339381,7.366901397705078,28878400,0.0,0.0,0.0
2024-05-03 00:00:00-04:00,7.523252345508457,7.753180587098749,7.228944038393689,7.458871841430664,24766800,0.0,0.0,0.0
2024-05-06 00:00:00-04:00,7.6704066691708395,7.973911893308678,7.53244919094939,7.753180980682373,28900500,0.0,0.0,0.0
2024-05-07 00:00:00-04:00,7.550843808832274,7.606026975078927,7.1194985356365095,7.155367374420166,28376900,0.0,0.0,0.0
2024-05-08 00:00:00-04:00,6.654124043578338,7.017410681006409,6.546517521935587,6.9162421226501465,25615100,0.0,0.0,0.0
2024-05-09 00:00:00-04:00,6.934635632138494,6.966825445163874,6.631130427746876,6.686313152313232,19144300,0.0,0.0,0.0
2024-05-10 00:00:00-04:00,6.778284111006933,6.778284111006933,6.355216132981085,6.419596195220947,23021600,0.0,0.0,0.0
2024-05-13 00:00:00-04:00,6.52076522128231,6.934635890208702,6.448107898783025,6.667919158935547,22826500,0.0,0.0,0.0
2024-05-14 00:00:00-04:00,6.870256181753458,7.2565357268056765,6.833467695420232,7.100184440612793,30459800,0.0,0.0,0.0
2024-05-15 00:00:00-04:00,7.302520971125289,7.302520971125289,6.750693281619411,6.824270248413086,31152200,0.0,0.0,0.0
2024-05-16 00:00:00-04:00,6.833467936320067,6.9530307403946665,6.6127370105393,6.870256423950195,19002200,0.0,0.0,0.0
2024-05-17 00:00:00-04:00,6.7782847486027995,7.251937262425738,6.713905118860395,7.081789970397949,21559400,0.0,0.0,0.0
2024-05-20 00:00:00-04:00,7.09098753049097,7.10938177363731,6.769088056153346,6.888650417327881,24973300,0.0,0.0,0.0
2024-05-21 00:00:00-04:00,6.902445826323445,7.812961440449428,6.870255574711128,7.789968967437744,42028200,0.0,0.0,0.0
2024-05-22 00:00:00-04:00,7.477266389317567,7.560040695160878,7.0817895401135775,7.256535053253174,29065600,0.0,0.0,0.0
2024-05-23 00:00:00-04:00,7.385295678436147,7.385295678436147,6.68631397594096,6.7322998046875,34682900,0.0,0.0,0.0
2024-05-24 00:00:00-04:00,6.824270215050316,7.210549727381966,6.732299007007854,7.146169662475586,24810100,0.0,0.0,0.0
2024-05-28 00:00:00-04:00,6.907045197001216,7.07259338766651,6.663320923663394,6.953030586242676,30125000,0.0,0.0,0.0
2024-05-29 00:00:00-04:00,6.750693606309436,7.054198828207779,6.7322993637263036,6.907044887542725,19278300,0.0,0.0,0.0
