Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-12 00:00:00-04:00,135.90671866415707,138.23746099222168,135.90671866415707,137.3646697998047,27563400,0.0,0.0
2024-03-13 00:00:00-04:00,137.86055612116084,139.9334198436989,137.8506435436748,138.64407348632812,23347200,0.0,0.0
2024-03-14 00:00:00-04:00,140.03263971476812,142.41296038062768,139.30862790840655,141.92698669433594,42753400,0.0,0.0
2024-03-15 00:00:00-04:00,141.33189197321508,142.00631057950346,138.88213796831596,140.022705078125,49475400,0.0,0.0
2024-03-18 00:00:00-04:00,147.3918211593764,150.90279656609297,145.96362264352206,146.4694366455078,69273700,0.0,0.0
2024-03-19 00:00:00-04:00,146.9455101008083,147.5703355892813,144.88255840993227,145.82476806640625,24070400,0.0,0.0
2024-03-20 00:00:00-04:00,146.78679725990156,147.639748173652,145.53713132595888,147.52073669433594,21311500,0.0,0.0
2024-03-21 00:00:00-04:00,148.24474177717806,149.13735809948852,145.69580172878864,146.39007568359375,24755600,0.0,0.0
2024-03-22 00:00:00-04:00,147.8976348836212,150.33747653257558,147.7587830911578,149.53411865234375,29211800,0.0,0.0
2024-03-25 00:00:00-04:00,148.71091979719523,149.1473154668572,146.60830262559878,148.83985900878906,19229300,0.0,0.0
2024-03-26 00:00:00-04:00,148.98861304571224,151.011884033954,148.7505749332153,149.43492126464844,22149100,0.0,0.0
2024-03-27 00:00:00-04:00,149.94074197303146,150.39697792574609,147.6794327705728,149.63328552246094,22879200,0.0,0.0
2024-03-28 00:00:00-04:00,149.61343338917058,150.1886655992159,148.9389997285373,149.69276428222656,24485400,0.0,0.0
2024-04-01 00:00:00-04:00,149.45476709366227,154.4633742852125,149.3754210532241,154.21542358398438,31730800,0.0,0.0
2024-04-02 00:00:00-04:00,152.24173645140743,153.43189683666333,150.90279655942555,153.2930450439453,24586000,0.0,0.0
2024-04-03 00:00:00-04:00,152.34091364414047,153.80877752671594,151.47803493131784,153.65008544921875,24705000,0.0,0.0
2024-04-04 00:00:00-04:00,152.2417216532487,153.5013153792841,149.21672024838048,149.2960662841797,34724700,0.0,0.0
2024-04-05 00:00:00-04:00,148.80016963270904,152.1623804461379,148.37370170217739,151.2499237060547,23459200,0.0,0.0
2024-04-08 00:00:00-04:00,151.52761905486636,153.99721328727458,151.35901440772807,153.58065795898438,20702000,0.0,0.0
2024-04-09 00:00:00-04:00,154.81048561572567,157.26023958727896,153.91786920573918,155.31631469726562,31079500,0.0,0.0
2024-04-10 00:00:00-04:00,154.9295103592396,155.3262253958283,153.41203826670193,154.86007690429688,22838600,0.0,0.0
2024-04-11 00:00:00-04:00,155.6238098015387,158.37109317006315,155.1775014856246,158.1033172607422,27166400,0.0,0.0
2024-04-12 00:00:00-04:00,156.66518304426685,158.90665201136972,155.85189745243298,156.4370574951172,25353700,0.0,0.0
2024-04-15 00:00:00-04:00,157.5577715629048,157.93466141742405,153.32276995678504,153.59056091308594,27136500,0.0,0.0
2024-04-16 00:00:00-04:00,152.92606827651122,154.3740918150493,152.17228850176252,153.13433837890625,20779500,0.0,0.0
2024-04-17 00:00:00-04:00,154.3443362556772,155.7923749027095,153.3128680735991,154.19557189941406,21763100,0.0,0.0
2024-04-18 00:00:00-04:00,154.0666493097183,155.65353990489737,153.35255005525875,154.7311553955078,19883000,0.0,0.0
2024-04-19 00:00:00-04:00,154.91959354072858,155.07828562000708,151.0515686940003,152.82688903808594,32615600,0.0,0.0
2024-04-22 00:00:00-04:00,153.04504913218574,156.34775344109167,152.79709849458354,154.9989013671875,26446200,0.0,0.0
2024-04-23 00:00:00-04:00,155.67336083793805,157.66687884737183,154.99892712206798,156.9626922607422,21151600,0.0,0.0
2024-04-24 00:00:00-04:00,156.19903597568538,158.26198771551822,155.88165180015244,157.82559204101562,22779100,0.0,0.0
2024-04-25 00:00:00-04:00,150.08950510920468,155.20721069723666,149.63326920623868,154.72122192382812,57109700,0.0,0.0
2024-04-26 00:00:00-04:00,172.94064243070838,173.27786687075127,168.2593321924788,170.5404815673828,64665300,0.0,0.0
2024-04-29 00:00:00-04:00,167.67417460775002,168.1601634153097,163.8557430067843,164.78802490234375,45610000,0.0,0.0
2024-04-30 00:00:00-04:00,164.25246727701446,166.72206177178046,161.26714620693434,161.44566345214844,33562900,0.0,0.0
2024-05-01 00:00:00-04:00,162.95319556004813,165.7500714576766,161.7531075684998,162.5167999267578,33493200,0.0,0.0
2024-05-02 00:00:00-04:00,163.43917993284745,165.36327982367402,162.54656344896563,165.25418090820312,24294500,0.0,0.0
2024-05-03 00:00:00-04:00,166.18647914228734,166.5832093530068,161.71345384411,165.86911010742188,34662400,0.0,0.0
2024-05-06 00:00:00-04:00,166.08729275303767,166.76171134902742,164.66900697168114,166.7220458984375,21871300,0.0,0.0
2024-05-07 00:00:00-04:00,167.1187793592467,170.35205118536106,167.00968044096345,169.8462371826172,28039700,0.0,0.0
2024-05-08 00:00:00-04:00,167.6146567610361,168.75522381569002,167.35679350646177,167.99154663085938,19569100,0.0,0.0
2024-05-09 00:00:00-04:00,168.00146814371737,169.2908147525702,166.80138015076668,168.56680297851562,15346700,0.0,0.0
2024-05-10 00:00:00-04:00,166.65261946945532,168.45770778843482,164.8277059911993,167.2675323486328,29799900,0.0,0.0
2024-05-13 00:00:00-04:00,162.9135222794407,167.89237656675422,162.65565899989346,167.75352478027344,31327600,0.0,0.0
2024-05-14 00:00:00-04:00,168.37837530926814,169.84623930052865,167.41632532705881,168.94369506835938,25127100,0.0,0.0
2024-05-15 00:00:00-04:00,169.23130735927975,171.23473800953292,169.11228073886124,171.09588623046875,26948400,0.0,0.0
2024-05-16 00:00:00-04:00,171.8694782348091,173.68447893916473,171.27440571230892,172.75218200683594,27867900,0.0,0.0
2024-05-17 00:00:00-04:00,172.75219674772163,174.8250760090424,172.2662230829347,174.61679077148438,24479300,0.0,0.0
2024-05-20 00:00:00-04:00,174.7457452424878,177.30459839219796,174.63664632446375,175.46975708007812,22554400,0.0,0.0
2024-05-21 00:00:00-04:00,175.44989566739218,176.6896490712989,174.36883433127562,176.39212036132812,16989400,0.0,0.0
2024-05-22 00:00:00-04:00,175.19203685040134,175.69785080388766,173.77376618454468,174.93417358398438,17880000,0.0,0.0
2024-05-23 00:00:00-04:00,175.6185460612894,176.78886621440395,171.53230783879025,172.1273956298828,21024900,0.0,0.0
2024-05-24 00:00:00-04:00,173.5456447964723,174.32917746118142,172.22654529374813,173.55557250976562,16579400,0.0,0.0
2024-05-28 00:00:00-04:00,173.01996737259077,175.81685807916702,172.94062134541406,174.9539794921875,20572200,0.0,0.0
2024-05-29 00:00:00-04:00,173.99195085751208,175.39039638067896,173.28777937305267,174.45809936523438,23388700,0.0,0.0
2024-05-30 00:00:00-04:00,173.7638553909168,173.78369568525272,170.381804057889,170.69918823242188,22931500,0.0,0.0
2024-05-31 00:00:00-04:00,170.4512148865134,171.6413751155462,168.05105413674661,171.08596801757812,37638900,0.0,0.0
2024-06-03 00:00:00-04:00,171.12564767729586,173.09934068848278,169.75697011042396,171.75048828125,27459100,0.0,0.0
2024-06-04 00:00:00-04:00,171.85961866905015,172.42495363020495,170.4810131361666,172.3654327392578,26879600,0.0,0.0
2024-06-05 00:00:00-04:00,173.7638369582265,175.2019479039631,172.50424324144495,173.9721221923828,22068500,0.0,0.0
2024-06-06 00:00:00-04:00,174.45808249066545,175.6978358202856,174.30931814459407,175.28128051757812,23251000,0.0,0.0
2024-06-07 00:00:00-04:00,175.5986571248054,176.4119274047294,172.87119991627856,173.02989196777344,19661400,0.0,0.0
2024-06-10 00:00:00-04:00,173.7349014501534,175.81014466476933,171.54049500356726,173.7746124267578,23726700,0.2,0.0
2024-06-11 00:00:00-04:00,174.97607487552963,175.59169348463175,172.54337230776866,175.3732452392578,21540600,0.0,0.0
2024-06-12 00:00:00-04:00,176.99174796777623,179.13650434238232,174.8668546571235,176.5349884033203,27864700,0.0,0.0
2024-06-13 00:00:00-04:00,174.86685975128964,175.49241749987627,173.64554642645388,173.92356872558594,20913300,0.0,0.0
