Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-12 00:00:00-04:00,40.80090038937152,41.98628056906325,40.502066423019336,41.79701614379883,3718600,0.0,0.0
2024-03-13 00:00:00-04:00,41.93646941556378,42.57398665493861,38.9780083729148,39.416297912597656,9191600,0.0,0.0
2024-03-14 00:00:00-04:00,39.15731301095697,40.173351571136436,38.86843852034238,39.79482650756836,5334800,0.0,0.0
2024-03-15 00:00:00-04:00,39.92431941905923,41.59779031338423,39.625481666617034,40.9503173828125,6702300,0.0,0.0
2024-03-18 00:00:00-04:00,41.23919307331215,42.135694957587646,40.74113520431022,41.78705596923828,4513100,0.0,0.0
2024-03-19 00:00:00-04:00,41.398573722133904,41.48822429549282,40.20323401064168,41.000125885009766,3398400,0.0,0.0
2024-03-20 00:00:00-04:00,40.76105620480042,42.06596925451811,40.651486660063355,41.81694030761719,2711000,0.0,0.0
2024-03-21 00:00:00-04:00,42.27514896368216,42.832975123950824,41.83685942339383,42.47437286376953,3030300,0.0,0.0
2024-03-22 00:00:00-04:00,42.47437675947875,43.26130914706662,42.17554278187885,43.022239685058594,2573300,0.0,0.0
2024-03-25 00:00:00-04:00,43.251344961386714,44.02831784683805,41.767134590237575,41.80698013305664,3623700,0.0,0.0
2024-03-26 00:00:00-04:00,42.01616493473224,42.54410509511701,41.15950473494396,41.93647384643555,2082100,0.0,0.0
2024-03-27 00:00:00-04:00,41.95639704717332,42.56402830206288,41.63764029049031,42.544105529785156,2063900,0.0,0.0
2024-03-28 00:00:00-04:00,42.583951497163014,43.619912866609134,42.47437814848771,43.151737213134766,4247600,0.0,0.0
2024-04-01 00:00:00-04:00,44.32715227259671,46.70786838217783,44.0582005556313,46.56841278076172,7548000,0.0,0.0
2024-04-02 00:00:00-04:00,46.08031418786454,47.50476005345311,45.532451270302815,47.49480056762695,4701800,0.0,0.0
2024-04-03 00:00:00-04:00,47.67410439283989,49.78586889560764,47.55457155680256,49.66633605957031,7506800,0.0,0.0
2024-04-04 00:00:00-04:00,49.3376108671944,50.23411654371493,48.03270169344557,48.172157287597656,6142300,0.0,0.0
2024-04-05 00:00:00-04:00,48.2418869652318,49.88547950296307,47.614332967204206,49.018856048583984,3315200,0.0,0.0
2024-04-08 00:00:00-04:00,49.068659597020655,49.068659597020655,47.00670032271704,48.56064224243164,4162000,0.0,0.0
2024-04-09 00:00:00-04:00,49.17823490619069,49.30773102132424,46.75767326115345,47.71394729614258,3425300,0.0,0.0
2024-04-10 00:00:00-04:00,47.15612095405316,49.15831199043156,46.83736420995192,48.969051361083984,4290900,0.0,0.0
2024-04-11 00:00:00-04:00,49.11846979160635,50.73217626863186,48.251846339234056,50.273963928222656,5881700,0.0,0.0
2024-04-12 00:00:00-04:00,50.90151395872632,52.43553314539743,48.969050746866394,49.39738082885742,8956400,0.0,0.0
2024-04-15 00:00:00-04:00,49.60656756139449,50.59272390479077,47.71394976480454,48.13231658935547,4655000,0.0,0.0
2024-04-16 00:00:00-04:00,47.58445224898443,48.61045030760489,46.09027854813665,48.0028190612793,4572600,0.0,0.0
2024-04-17 00:00:00-04:00,48.40126693802252,49.467110541442054,47.79363569123789,48.22196578979492,2665900,0.0,0.0
2024-04-18 00:00:00-04:00,48.2817326688664,49.08858401199682,47.654178668747086,47.98289489746094,2533600,0.0,0.0
2024-04-19 00:00:00-04:00,47.72390542163456,48.71006168589848,47.53464479712655,47.91316604614258,2203100,0.0,0.0
2024-04-22 00:00:00-04:00,47.38522681206141,47.77371135386534,46.48872110029843,47.10631561279297,4047700,0.0,0.0
2024-04-23 00:00:00-04:00,47.016666285159076,48.72998286868365,46.827401852180984,48.49091720581055,3699300,0.0,0.0
2024-04-24 00:00:00-04:00,48.530760674803446,49.32765251677886,47.913166172377466,48.57060241699219,2881500,0.0,0.0
2024-04-25 00:00:00-04:00,48.44111121614384,49.58664207779512,47.69402438467904,48.969051361083984,2030800,0.0,0.0
