Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-12 00:00:00-04:00,113.46019062891195,114.41778093942493,109.68785554735172,109.83294677734375,6570000,0.0,0.0
2024-03-13 00:00:00-04:00,109.78457443930886,110.58740613804177,105.75108127287398,106.3991470336914,7162000,0.0,0.0
2024-03-14 00:00:00-04:00,107.07623111438889,107.76299574928184,101.56282364007204,102.9653549194336,8069800,0.0,0.0
2024-03-15 00:00:00-04:00,103.53605171700474,105.41254827330677,102.18187917265215,103.49736022949219,9159700,0.0,0.0
2024-03-18 00:00:00-04:00,103.48768132590979,104.33887925745573,101.23395946174405,103.13946533203125,7403800,0.0,0.0
2024-03-19 00:00:00-04:00,103.51670316480467,105.31581676139992,101.61119720120239,104.00033569335938,7971700,0.0,0.0
2024-03-20 00:00:00-04:00,104.37756670316926,107.68561113732167,102.58812060069661,107.43412017822266,9600200,0.0,0.0
2024-03-21 00:00:00-04:00,109.47505911692076,111.98027206477951,108.5755023214326,110.3069076538086,11678000,0.0,0.0
2024-03-22 00:00:00-04:00,109.21389192875387,110.0747571665994,108.1305524994933,108.5658187866211,4711400,0.0,0.0
2024-03-25 00:00:00-04:00,107.62757733691612,111.05169645081217,106.69900378767005,109.30094909667969,6152300,0.0,0.0
2024-03-26 00:00:00-04:00,109.63948704853654,113.02491457245034,109.54276202378256,110.89693450927734,7389200,0.0,0.0
2024-03-27 00:00:00-04:00,110.27788386684078,111.45794833849426,107.29870591867399,108.02415466308594,4376000,0.0,0.0
2024-03-28 00:00:00-04:00,108.57549739159086,110.70347746210648,108.22728139755793,110.3746109008789,4153400,0.0,0.0
2024-04-01 00:00:00-04:00,110.51002914015498,115.79129529271772,110.51002914015498,115.72358703613281,8064100,0.0,0.0
2024-04-02 00:00:00-04:00,113.54724259522122,114.9014151288201,111.53532953842553,114.56287384033203,5503100,0.0,0.0
2024-04-03 00:00:00-04:00,113.93414345982131,125.51229913046548,113.80840166845374,124.37093353271484,19390800,0.0,0.0
2024-04-04 00:00:00-04:00,125.59937427374616,131.7028144568482,122.53313841698211,122.99742889404297,19494800,0.0,0.0
2024-04-05 00:00:00-04:00,123.8099347224595,128.56887731723873,119.46691642232443,128.37542724609375,10813500,0.0,0.0
2024-04-08 00:00:00-04:00,128.59787980868018,129.07184497575,121.44979199288129,122.98774719238281,11952300,0.0,0.0
2024-04-09 00:00:00-04:00,122.29131533009961,122.60083983765972,116.50706733173998,119.67970275878906,9985300,0.0,0.0
2024-04-10 00:00:00-04:00,117.2228514996597,121.94310219552662,117.13579380943027,119.33148956298828,5945000,0.0,0.0
2024-04-11 00:00:00-04:00,119.5636365743948,121.66260001714032,119.10902080816072,119.97956085205078,5058300,0.0,0.0
2024-04-12 00:00:00-04:00,117.51301492575213,118.34486336049918,113.76002963338219,113.90512084960938,7501700,0.0,0.0
2024-04-15 00:00:00-04:00,115.10453125558557,118.48995864545573,113.43115961297691,113.95348358154297,6764100,0.0,0.0
2024-04-16 00:00:00-04:00,112.84113793891511,117.75483850846692,111.89321499609885,117.11644744873047,7596700,0.0,0.0
2024-04-17 00:00:00-04:00,118.60604163546667,119.62166549774341,114.43712430285093,115.7042465209961,5346000,0.0,0.0
2024-04-18 00:00:00-04:00,115.69456181189462,115.73325329563674,111.72877697390153,114.49515533447266,5053700,0.0,0.0
2024-04-19 00:00:00-04:00,112.55095637010452,115.27864338412154,110.55839282486868,111.10973358154297,9440000,0.0,0.0
2024-04-22 00:00:00-04:00,111.66807326886405,114.91129897127543,110.93980322580624,112.19242858886719,5410000,0.445,0.0
2024-04-23 00:00:00-04:00,113.00808523515862,117.57191519262673,112.34778677957516,117.13494873046875,5086900,0.0,0.0
2024-04-24 00:00:00-04:00,122.35906943414848,122.35906943414848,115.85318647703318,116.71739959716797,5815900,0.0,0.0
2024-04-25 00:00:00-04:00,114.9015823581129,121.6502144411009,113.61011516836707,121.29093933105469,6823000,0.0,0.0
